,Id,TopicId,Topic,Title,Content,Description,UrlComment,PublishedDate,SentimentAI,SentimentQC,Tỉ lệ,SiteName,SiteId,Channel,Author,AuthorId,UrlTopic,ParentId,Labels1,Labels2,Labels3,Labels4,Type,Level,Caption,Tags,Labels,Verify Sentiment
1793,7587009033878670610_7587410166154511122,6929256661fe19430ca50d22,Vinfast,Thua mua xe Vinfast VF 3 lỗi nặng tai nạn ngập nước hết bảo hành #thumuaxetainan #thumuaxevinfasttainan #Vinfast #VF3 #vinfastvf3tainan,"bác co e mua 40tr , sl bn cũng mua🥰🥰🥰🥰🥰🥰🥰🥰🥰",,https://www.tiktok.com/@thuamuaxetainan/video/7587009033878670610?cid=NzU4NzQxMDE2NjE1NDUxMTEyMg,24/12/2025,Negative,Neutral,AI sai,thuamuaxetainan,6989896262099190811,Tiktok,Thu Mua Xe Tai Nạn Toàn Quốc,thuamuaxetainan,https://www.tiktok.com/@thuamuaxetainan/video/7587009033878670610?cid=NzU4NzQxMDE2NjE1NDUxMTEyMg,6989896262099190811_7587009033878670610,,,,,tiktokComment,1.0,Nội dung chỉ trích xe Vinfast VF 3 với nhiều vấn đề nghiêm trọng.,,,neutral
1794,7587009033878670610_7587460044552962837,6929256661fe19430ca50d22,Vinfast,Thua mua xe Vinfast VF 3 lỗi nặng tai nạn ngập nước hết bảo hành #thumuaxetainan #thumuaxevinfasttainan #Vinfast #VF3 #vinfastvf3tainan,Bán nhiu z anh,,https://www.tiktok.com/@thuamuaxetainan/video/7587009033878670610?cid=NzU4NzQ2MDA0NDU1Mjk2MjgzNw,24/12/2025,Negative,Neutral,AI sai,thuamuaxetainan,6989896262099190811,Tiktok,Huy Hay Ăn,huyhayan,https://www.tiktok.com/@thuamuaxetainan/video/7587009033878670610?cid=NzU4NzQ2MDA0NDU1Mjk2MjgzNw,6989896262099190811_7587009033878670610,,,,,tiktokComment,1.0,Nội dung chỉ trích xe Vinfast VF 3 với nhiều vấn đề nghiêm trọng.,,,neutral
1796,7587009033878670610_7587375150066074388,6929256661fe19430ca50d22,Vinfast,Thua mua xe Vinfast VF 3 lỗi nặng tai nạn ngập nước hết bảo hành #thumuaxetainan #thumuaxevinfasttainan #Vinfast #VF3 #vinfastvf3tainan,em trả 30 triệu ai,,https://www.tiktok.com/@thuamuaxetainan/video/7587009033878670610?cid=NzU4NzM3NTE1MDA2NjA3NDM4OA,24/12/2025,Negative,Neutral,AI sai,thuamuaxetainan,6989896262099190811,Tiktok,Nỗi nhớ,dongbrave,https://www.tiktok.com/@thuamuaxetainan/video/7587009033878670610?cid=NzU4NzM3NTE1MDA2NjA3NDM4OA,6989896262099190811_7587009033878670610,,,,,tiktokComment,1.0,Nội dung chỉ trích xe Vinfast VF 3 với nhiều vấn đề nghiêm trọng.,,,neutral
3455,853725630884018_853791430877438,6929256661fe19430ca50d22,Vinfast,"Mấy bác cho em hỏi lúc bị ngập đi xe của Vinfast, sau đấy dùng còn ổn không? Mình mới bị 1 lần thấy vẫn ổn nên chưa đi bảo dưỡng 
 Mình đi Vin Evo được hơn năm, chạy hầu như ngày nào cũng đi làm – đón con – đi siêu thị. Lúc mới mua cũng lo y chang mọi người: xe điện mà lỡ gặp ngập thì sao, có chập điện không, có “toang” pin không… Nhất là xem mấy clip ngập nước trên mạng xong là hoang mang.
 
 Thực tế dùng rồi mới bớt sợ. Mình ở Hà Nội, mùa mưa đường ngập như cơm bữa, có mấy lần bắt buộc phải lội qua đoạn nước tầm nửa bánh, có hôm gần chạm gầm. Cảm giác đầu tiên là… nó không bị hụt ga hay giật như xe xăng trước đây. Máy êm, đi chậm chậm, đều ga qua là xong. Không bị ám mùi xăng, không réo rú các kiểu.
 
 Về nhà mình để xe ráo nước rồi hôm sau vẫn đi làm bình thường, không báo lỗi gì. Hồi mới thì còn run, đi qua là phải lên app, soi thông số, giờ quen rồi. Xe điện bản chất kín đáy hơn, không có ống xả, cũng không cần lo nước tạt vào máy như hồi đi xe xăng.
 
 Dĩ nhiên mình vẫn né ngập nặng, nước tới chỗ để chân là mình quay đầu, không dại gì. Nhưng với các kiểu ngập “nhẹ nhàng” nội thành giờ cao điểm thì đúng là bớt stress hơn trước khá nhiều.
 
 Không biết ở Sài Gòn hay các tỉnh khác anh chị em đi xe điện có ai từng lội mưa lội ngập chưa, trải nghiệm thế nào?","Mình thì hơi khác chút, vẫn hơi rén. Hôm trước đi qua đoạn ngập khoảng nửa bánh, qua được nhưng lúc đó tim đập thình thịch, cứ sợ nhỡ đâu nước vào pin hay gì thì toang. Chắc do mình chưa quen, vẫn mang tâm lý xe xăng.",,http://facebook.com/853725630884018_853791430877438,25/12/2025,Positive,Neutral,AI sai,Hội VinFast VF8 Việt Nam !,323855637204356,Facebook,Sa Kim,61566564743768,http://facebook.com/323855637204356_853725630884018,323855637204356_853725630884018,,,,,fbGroupComment,,"Người dùng có trải nghiệm tích cực với xe Vinfast, không gặp vấn đề khi ngập nước.",,,neutral
3456,853725630884018_853790944210820,6929256661fe19430ca50d22,Vinfast,"Mấy bác cho em hỏi lúc bị ngập đi xe của Vinfast, sau đấy dùng còn ổn không? Mình mới bị 1 lần thấy vẫn ổn nên chưa đi bảo dưỡng 
 Mình đi Vin Evo được hơn năm, chạy hầu như ngày nào cũng đi làm – đón con – đi siêu thị. Lúc mới mua cũng lo y chang mọi người: xe điện mà lỡ gặp ngập thì sao, có chập điện không, có “toang” pin không… Nhất là xem mấy clip ngập nước trên mạng xong là hoang mang.
 
 Thực tế dùng rồi mới bớt sợ. Mình ở Hà Nội, mùa mưa đường ngập như cơm bữa, có mấy lần bắt buộc phải lội qua đoạn nước tầm nửa bánh, có hôm gần chạm gầm. Cảm giác đầu tiên là… nó không bị hụt ga hay giật như xe xăng trước đây. Máy êm, đi chậm chậm, đều ga qua là xong. Không bị ám mùi xăng, không réo rú các kiểu.
 
 Về nhà mình để xe ráo nước rồi hôm sau vẫn đi làm bình thường, không báo lỗi gì. Hồi mới thì còn run, đi qua là phải lên app, soi thông số, giờ quen rồi. Xe điện bản chất kín đáy hơn, không có ống xả, cũng không cần lo nước tạt vào máy như hồi đi xe xăng.
 
 Dĩ nhiên mình vẫn né ngập nặng, nước tới chỗ để chân là mình quay đầu, không dại gì. Nhưng với các kiểu ngập “nhẹ nhàng” nội thành giờ cao điểm thì đúng là bớt stress hơn trước khá nhiều.
 
 Không biết ở Sài Gòn hay các tỉnh khác anh chị em đi xe điện có ai từng lội mưa lội ngập chưa, trải nghiệm thế nào?","Đọc bài của bạn thấy đồng cảm, mình lúc mới lấy xe cũng ngồi cày cả đống clip ngập nước, tai nạn này kia nên hoang mang lắm. Dùng dần mới thấy đi trong phố, mưa gió ngập nhẹ cũng không đến mức đáng sợ như tưởng tượng ban đầu.",,http://facebook.com/853725630884018_853790944210820,25/12/2025,Positive,Neutral,AI sai,Hội VinFast VF8 Việt Nam !,323855637204356,Facebook,Trà Giang,100030411920918,http://facebook.com/323855637204356_853725630884018,323855637204356_853725630884018,,,,,fbGroupComment,,"Người dùng có trải nghiệm tích cực với xe Vinfast, không gặp vấn đề khi ngập nước.",,,neutral
3458,4382796761952247_4386128278285762,6929256661fe19430ca50d22,Vinfast,"Mình chia sẻ câu chuyện này với mong muốn được xử lý minh bạch, thỏa đáng, đồng thời để những ai đang hoặc sắp mua xe có thêm góc nhìn về trải nghiệm hậu mãi thực tế của VinFast.
 
 Ngày 13/12/2025, mình nhận xe VinFast VF3 (xe mới 100%) tại Nam Từ Liêm. Tuy nhiên, sau ~35km, xe không thể chuyển số do mất kết nối chìa khóa, phải gọi cứu hộ đưa về xưởng VinFast Bắc Ninh.
 Sau xử lý ban đầu, test lại ~200m xe tiếp tục báo nhiều lỗi nghiêm trọng liên quan truyền động, pin, hộp số và hệ thống an toàn.Đến 21/12 xưởng thông báo đã thay toàn bộ dây điện sàn, điện tablo và BCM.
 Mình đã gửi email khiếu nại, liên hệ hotline và đại lý, nhưng sau hơn 8 ngày chưa có phản hồi chính thức bằng văn bản, chỉ thông tin miệng là áp dụng bảo hành.
 Với một chiếc xe mới lỗi nghiêm trọng ngay ngày đầu, mình không nhận lại VF3 và đề xuất VinFast xem xét đổi sang VF7 Eco và bù thêm chi phí theo chính sách của VF7 , để đảm bảo an toàn và quyền lợi khách hàng
 
 Mình chia sẻ câu chuyện này không nhằm công kích hay quy kết cá nhân/tổ chức, mà mong:VinFast có phản hồi minh bạch, chính thức bằng văn bản .Có cách xử lý phù hợp cho các trường hợp xe lỗi ngay khi bàn giao .Thể hiện tinh thần đặt trải nghiệm và quyền lợi khách hàng làm trọng tâm, đúng với kỳ vọng của người tiêu dùng đối với một thương hiệu lớn
 
 Rất mong nhận được sự lắng nghe và phản hồi rõ ràng từ VinFast.","Người tham gia ẩn danh 369 đổi đc bác, làm lại giấy tờ thôi. Quan trọng là hãnh có đồng ý k. Thu hồi 1 cái xe thì ngta tự có cách xử lý bác à.",,http://facebook.com/4382796761952247_4386128278285762,25/12/2025,Negative,Neutral,AI sai,VinFast VF3 Việt Nam - VINNO CLUB,3613721482193116,Facebook,Người Truyền Lửa,100005458275979,http://facebook.com/3613721482193116_4382796761952247,3613721482193116_4382796761952247,,,,,fbGroupComment,1.0,"Người dùng gặp nhiều lỗi nghiêm trọng với xe mới, thể hiện sự không hài lòng.",,,neutral
3462,7587585542246649096_7587727145046213384,6929256661fe19430ca50d22,Vinfast,Xe điện cụ thể là vf5 sau 10 vạn nó như thế nào vậy các bác. E xin ý kiến từ các bác chạy thật nhé còn các bác k chạy mà phỏng đoán thì e biết rồi ạ. #laixe #oto #vinno #vf5 #xedien,rất thật.phải cảm ơn những người như b.nếu như vậy thì hết 180k bảo hành thì vứt 2 lần rồi nhỉ,,https://www.tiktok.com/@tolavinno/video/7587585542246649096?cid=NzU4NzcyNzE0NTA0NjIxMzM4NA,25/12/2025,Negative,Neutral,AI sai,tolavinno,6833946661535024130,Tiktok,Vũ Tiến Tùng,1993.phay.or.run,https://www.tiktok.com/@tolavinno/video/7587585542246649096?cid=NzU4NzcyNzE0NTA0NjIxMzM4NA,6833946661535024130_7587585542246649096,,,,,tiktokComment,1.0,Nội dung không đề cập đến main keywords. Nội dung thể hiện sự không hài lòng và lo ngại về chất lượng xe.,,,neutral
3464,7587708205568888072_7587758523955266324,6929256661fe19430ca50d22,Vinfast,Vingroup không làm đường sắt cao tốc Bắc Nam nữa #vingroup #duongsatcaotocbacnam #phamnhatvuong #chienhalo #cuienhalotintuc,Vinhome..Vinfast. Vinmec. Vinschool. loại m thì làm chóa gì đc trải nhiệm dịch vụ cao cấp của Vin mà to mồm. ngồi nhà cào phím,"đường sắt cao tốc bắc nam,Cao Tốc Bắc Nam,vingroup",https://www.tiktok.com/@chienhalo/video/7587708205568888072?cid=NzU4Nzc1ODUyMzk1NTI2NjMyNA,25/12/2025,Negative,Neutral,AI sai,chienhalo,6801356182038070273,Tiktok,Dương Thành,dng.thnh018,https://www.tiktok.com/@chienhalo/video/7587708205568888072?cid=NzU4Nzc1ODUyMzk1NTI2NjMyNA,6801356182038070273_7587708205568888072,,,,,tiktokComment,1.0,Nội dung chỉ trích Vingroup không thực hiện dự án đường sắt cao tốc.,,,neutral
3465,7587585542246649096_7587757742426768136,6929256661fe19430ca50d22,Vinfast,Xe điện cụ thể là vf5 sau 10 vạn nó như thế nào vậy các bác. E xin ý kiến từ các bác chạy thật nhé còn các bác k chạy mà phỏng đoán thì e biết rồi ạ. #laixe #oto #vinno #vf5 #xedien,Thật mà lúc mua ai cũng chê này nọ nói đủ thứ nhưng mua lm dịch vụ mà dc cái miễn phí xạc bảo dưỡng rẻ nên cố cày ấy bạn nên xe mình mua mình biết thôi,,https://www.tiktok.com/@tolavinno/video/7587585542246649096?cid=NzU4Nzc1Nzc0MjQyNjc2ODEzNg,25/12/2025,Positive,Neutral,AI sai,tolavinno,6833946661535024130,Tiktok,A Yêu,t912119,https://www.tiktok.com/@tolavinno/video/7587585542246649096?cid=NzU4Nzc1Nzc0MjQyNjc2ODEzNg,6833946661535024130_7587585542246649096,,,,,tiktokComment,,Nội dung không đề cập đến main keywords. Nội dung thể hiện sự hài lòng với xe điện và dịch vụ đi kèm.,,,neutral
6572,7587649349719510279_7587950953589146376,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3",Trong nội thành thì cứu hộ đến nhanh thui..ráng lên bé😁,,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4Nzk1MDk1MzU4OTE0NjM3Ng,26/12/2025,Negative,Positive,AI sai,memut1706,6769763228617884673,Tiktok,Saigon2025,saigon202559,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4Nzk1MDk1MzU4OTE0NjM3Ng,6769763228617884673_7587649349719510279,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện cảm xúc tiêu cực về xe điện.",,,neutral
